Level,Expression,Type,Value,Min,Max,Average,# Changes,Min. Change,Max. Change
0,"(gimba_IMU_data)->Gyro[0]","float",-0.00102453073,-5.09713221,4.71596527,-0.000440069416,7?419,-2.79513693,2.30321836
0,"(gimba_IMU_data)->Gyro[1]","float",-0.0012158996,-4.15894365,2.25714421,-0.00138509693,7?418,-4.78075933,4.13222885
0,"(gimba_IMU_data)->Gyro[2]","float",0.0160668585,-4.9160533,3.80414677,0.00309321145,7?414,-1.5530107,1.41351533
